service_id,date,exception_type
GH_A5-Weekday-SDon,20250217,2
GH_A5-Weekday-SDon-BM,20250216,2
GH_A5-Weekday-SDon,20250218,2
GH_A5-Weekday-SDon-BM,20250217,2
GH_A5-Weekday-SDon,20250219,2
GH_A5-Weekday-SDon-BM,20250218,2
GH_A5-Weekday-SDon,20250220,2
GH_A5-Weekday-SDon-BM,20250219,2
GH_A5-Weekday-SDon,20250221,2
GH_A5-Weekday-SDon-BM,20250220,2
GH_A5-Weekday,20250218,1
GH_A5-Weekday-BM,20250217,1
GH_A5-Weekday,20250219,1
GH_A5-Weekday-BM,20250218,1
GH_A5-Weekday,20250220,1
GH_A5-Weekday-BM,20250219,1
GH_A5-Weekday,20250221,1
GH_A5-Weekday-BM,20250220,1
GH_A5-Saturday,20250217,1
KB_A5-Weekday-SDon,20250217,2
KB_A5-Weekday-SDon,20250218,2
KB_A5-Weekday-SDon,20250219,2
KB_A5-Weekday-SDon,20250220,2
KB_A5-Weekday-SDon,20250221,2
KB_A5-Weekday,20250218,1
KB_A5-Weekday,20250219,1
KB_A5-Weekday,20250220,1
KB_A5-Weekday,20250221,1
KB_A5-Saturday,20250217,1
WF_A5-Weekday-SDon,20250217,2
WF_A5-Weekday-SDon,20250218,2
WF_A5-Weekday-SDon,20250219,2
WF_A5-Weekday-SDon,20250220,2
WF_A5-Weekday-SDon,20250221,2
WF_A5-Weekday,20250218,1
WF_A5-Weekday,20250219,1
WF_A5-Weekday,20250220,1
WF_A5-Weekday,20250221,1
WF_A5-Saturday,20250217,1
